date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:43	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/css/plugins/magnific-popup.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/magnific-popup.css	(from http://jeanarbo.com/css/plugins.css)
15:13:43	3228/3228	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/css/plugins/owl.carousel.min.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/owl.carousel.min.css	(from http://jeanarbo.com/css/plugins.css)
15:13:43	1003/1003	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/css/plugins/owl.theme.default.min.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/owl.theme.default.min.css	(from http://jeanarbo.com/css/plugins.css)
15:13:43	13734/13734	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/css/plugins/helper.css	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/css/plugins/helper.css	(from http://jeanarbo.com/css/plugins.css)
15:14:09	1295817/1295817	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Apr%202017%2016:04:32%20GMT	http://jeanarbo.com/img/portfolio/Kawasaki%20Site%20Re-design.png	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/Kawasaki%20Site%20Re-design.png	(from http://jeanarbo.com/)
15:14:36	2500271/2500271	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Apr%202017%2023:52:48%20GMT	http://jeanarbo.com/img/portfolio/designex3big.png	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/designex3big.png	(from http://jeanarbo.com/)
15:20:07	11362845/11362845	---M--	200	added ('OK')	image/png	date:Fri,%2012%20May%202017%2001:44:26%20GMT	http://jeanarbo.com/img/portfolio/brandingex2big.png	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/brandingex2big.png	(from http://jeanarbo.com/)
15:20:13	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2016%20May%202018%2022:40:32%20GMT	http://jeanarbo.com/fonts/et-line.eot	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/fonts/et-line.eot	(from http://jeanarbo.com/css/plugins/et-line.css)
15:20:16	54246/54246	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jun%202019%2000:43:50%20GMT	http://jeanarbo.com/img/portfolio/tapmusicbig.jpg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/tapmusicbig.jpg	(from http://jeanarbo.com/)
15:20:19	71763/71763	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jun%202019%2000:17:56%20GMT	http://jeanarbo.com/img/portfolio/philgbig.jpg	C:/Users/admin/Documents/Jean%20Boyer/Jeanarbo/jeanarbo.com/img/portfolio/philgbig.jpg	(from http://jeanarbo.com/)
